Epoch,Train loss,Test loss,Train accuracy,Test accuracy,Accurarcy of Cat,Accurarcy of dog
0,0.10435359288949984,0.00921219457170082,0.8511904761904762,0.9325,93.75,92.75
1,0.007908367780328263,0.012608517614862648,0.9603174603174603,0.91875,89.25,94.5
2,0.00768724717174333,0.03646485767115998,0.9672619047619048,0.915,99.25,83.75
3,0.01734171616025762,0.04239274787714093,0.9672619047619048,0.9325,99.25,87.25
4,0.01644948648193472,0.05689852711697841,0.9623015873015873,0.91625,99.5,83.75
5,0.00938062440094638,0.06384441880636385,0.9851190476190477,0.915,84.5,98.5
6,0.015744067764766466,0.03782405685000157,0.9781746031746031,0.94625,94.75,94.5
7,0.004921274586919257,0.056837458711532333,0.9900793650793651,0.9425,96.75,91.75
8,0.008264892973035334,0.07880050886354001,0.9880952380952381,0.92875,98.25,87.5
9,0.0024576851043820944,0.07011096533234068,0.9970238095238095,0.93875,99.0,88.75
